complaint_id,txn_id,user_id,merchant_id,transaction_timestamp,reported_timestamp,disputed_amount,reason_category,resolution_status,bank_response_timestamp,resolution_sla_days,is_sla_violation,severity,channel
CBK0000016,TXN00013636,USR71660,MCH4806,,,0.89,GENERAL_DISPUTE,RESOLVED,,,False,MEDIUM,BRANCH
CBK0000017,TXN00006427,USR30994,MCH6488,,,0.36,FRAUD_OR_ATO,IN_PROGRESS,,,False,MEDIUM,CHATBOT
CBK0000018,TXN00013395,USR33081,MCH5650,,,6485.64,FRAUD_OR_ATO,CLOSED,,,False,MEDIUM,CHATBOT
CBK0000019,TXN00008321,USR27583,MCH4590,,,699.14,DUPLICATE_PROCESSING,IN_PROGRESS,,,False,HIGH,CHATBOT
CBK0000020,TXN00010227,USR97817,MCH7570,,,0.26,MERCHANT_OR_DELIVERY_ISSUE,RESOLVED,,,False,HIGH,BRANCH
CBK0000021,TXN00013452,USR44435,MCH8391,,,2480.91,FRAUD_OR_ATO,IN_PROGRESS,,,False,MEDIUM,IVR
CBK0000022,TXN00012475,USR21946,MCH4181,2026-03-05 23:30:49,,0.12,FRAUD_OR_ATO,IN_PROGRESS,,,False,LOW,CHATBOT
CBK0000023,TXN00001464,USR92751,MCH2757,,,1112.83,MERCHANT_OR_DELIVERY_ISSUE,RESOLVED,,,False,MEDIUM,IVR
CBK0000024,TXN00007464,USR69440,MCH7458,,2026-02-02 03:05:42,2001.83,DUPLICATE_PROCESSING,REJECTED,,,False,MEDIUM,CHATBOT
CBK0000025,TXN00018011,USR73468,MCH3488,,,376.33,GENERAL_DISPUTE,REJECTED,,,False,HIGH,IVR
CBK0000026,TXN00001919,USR39089,MCH5042,,2026-03-05 00:00:00,1859.77,MERCHANT_OR_DELIVERY_ISSUE,REJECTED,2026-03-27 22:56:15,22.0,True,LOW,IVR
CBK0000027,TXN00014669,USR36534,MCH6898,2026-02-10 00:00:00,,0.16,FRAUD_OR_ATO,RESOLVED,,,False,LOW,EMAIL
CBK0000028,TXN00005785,USR15008,MCH4604,,,222.95,DUPLICATE_PROCESSING,CLOSED,,,False,MEDIUM,IVR
CBK0000029,TXN00006499,USR14810,MCH1545,,,640.77,AMOUNT_MISMATCH,CLOSED,,,False,MEDIUM,CHATBOT
CBK0000030,TXN00002461,USR44431,MCH2413,,,,FRAUD_OR_ATO,RESOLVED,2026-02-05 16:52:30,,False,LOW,BRANCH
CBK0000031,TXN00005788,USR80678,MCH4473,,,372.51,DUPLICATE_PROCESSING,RESOLVED,2026-03-29 00:09:09,,False,LOW,IVR
CBK0000032,TXN00001691,USR43171,MCH8182,2026-01-08 00:00:00,2026-01-09 00:00:00,875.81,DUPLICATE_PROCESSING,IN_PROGRESS,2026-01-26 09:44:49,17.0,True,MEDIUM,APP
CBK0000033,TXN00009708,USR97772,MCH5076,,,3007.22,AMOUNT_MISMATCH,REJECTED,,,False,HIGH,IVR
CBK0000034,TXN00018948,USR39094,MCH1418,2026-01-27 00:00:00,,959.89,GENERAL_DISPUTE,OPEN,,,False,MEDIUM,CHATBOT
CBK0000035,TXN00004120,USR53171,MCH6920,2026-03-07 00:00:00,2026-03-05 00:00:00,5701.53,DUPLICATE_PROCESSING,IN_PROGRESS,,,False,LOW,IVR
CBK0000036,TXN00007642,USR23143,MCH2032,,2026-01-17 16:21:03,0.13,GENERAL_DISPUTE,REJECTED,2026-02-05 16:21:03,19.0,True,CRITICAL,EMAIL
CBK0000037,TXN00005659,USR96672,MCH9397,2026-03-07 00:00:00,,2505.44,GENERAL_DISPUTE,IN_PROGRESS,,,False,MEDIUM,IVR
CBK0000038,TXN00016138,USR75856,MCH5345,,,2973.45,DUPLICATE_PROCESSING,IN_PROGRESS,,,False,LOW,IVR
CBK0000039,TXN00010340,USR89475,MCH2478,,2026-01-12 00:00:00,0.84,FRAUD_OR_ATO,IN_PROGRESS,,,False,MEDIUM,CHATBOT
CBK0000040,TXN00009861,USR84241,MCH1811,,2026-02-08 00:00:00,883.5,MERCHANT_OR_DELIVERY_ISSUE,RESOLVED,,,False,HIGH,EMAIL
CBK0000041,TXN00001568,USR27328,MCH3518,,,0.28,DUPLICATE_PROCESSING,IN_PROGRESS,2026-02-01 02:46:29,,False,LOW,APP
CBK0000042,TXN00001246,USR48537,MCH2700,2026-02-08 00:00:00,,0.7,GENERAL_DISPUTE,CLOSED,,,False,HIGH,IVR
CBK0000043,TXN00015200,USR15181,MCH4051,,,,AMOUNT_MISMATCH,RESOLVED,,,False,LOW,IVR
CBK0000044,TXN00004903,USR49770,MCH4578,,,639.26,MERCHANT_OR_DELIVERY_ISSUE,IN_PROGRESS,,,False,MEDIUM,CHATBOT
CBK0000045,TXN00018877,USR30701,MCH8391,,,2653.61,MERCHANT_OR_DELIVERY_ISSUE,OPEN,,,False,CRITICAL,CHATBOT
CBK0000046,TXN00007253,USR97477,MCH1590,2026-02-15 00:00:00,,8599.51,FRAUD_OR_ATO,OPEN,,,False,HIGH,APP
CBK0000047,TXN74133,USR46927,MCH2711,2026-03-27 00:00:00,2026-04-26 00:00:00,0.55,AMOUNT_MISMATCH,OPEN,,,False,MEDIUM,BRANCH
CBK0000048,TXN00003553,USR11419,MCH5833,,,3278.36,FRAUD_OR_ATO,IN_PROGRESS,,,False,MEDIUM,EMAIL
CBK0000049,TXN00009231,USR41135,MCH3165,2026-03-11 00:00:00,,669.96,FRAUD_OR_ATO,IN_PROGRESS,,,False,LOW,BRANCH
CBK0000050,TXN00004935,USR75712,MCH2076,,,18552.59,GENERAL_DISPUTE,RESOLVED,,,False,LOW,CALL CENTER
CBK0000051,TXN00015825,USR97494,MCH6181,,,272.77,FRAUD_OR_ATO,RESOLVED,,,False,CRITICAL,CHATBOT
CBK0000052,TXN00002289,USR12120,MCH6097,,,0.4,DUPLICATE_PROCESSING,CLOSED,,,False,LOW,BRANCH
CBK0000053,TXN00017140,USR93610,MCH8296,,,589.03,FRAUD_OR_ATO,CLOSED,,,False,MEDIUM,APP
CBK0000054,TXN00015105,USR35239,MCH9077,,,608.31,GENERAL_DISPUTE,REJECTED,,,False,LOW,IVR
CBK0000055,TXN00017357,USR15485,MCH3992,,,3043.82,GENERAL_DISPUTE,IN_PROGRESS,,,False,CRITICAL,CHATBOT
CBK0000056,TXN00002715,USR49193,MCH9467,2026-01-23 00:00:00,,,MERCHANT_OR_DELIVERY_ISSUE,REJECTED,,,False,HIGH,CHATBOT
CBK0000057,TXN00005197,USR33934,MCH6452,,,0.57,FRAUD_OR_ATO,IN_PROGRESS,,,False,MEDIUM,EMAIL
CBK0000058,TXN00007401,USR21162,MCH8369,,,2284.5,MERCHANT_OR_DELIVERY_ISSUE,RESOLVED,,,False,HIGH,APP
CBK0000059,TXN00011102,USR87051,MCH4693,,,1825.45,FRAUD_OR_ATO,OPEN,,,False,LOW,CALL CENTER
CBK0000060,TXN00004672,USR95647,MCH3815,,,985.98,MERCHANT_OR_DELIVERY_ISSUE,RESOLVED,,,False,HIGH,IVR
CBK0000061,TXN00010949,USR32546,MCH9169,,,2673.31,MERCHANT_OR_DELIVERY_ISSUE,CLOSED,,,False,MEDIUM,APP
CBK0000062,TXN00012210,USR39698,MCH5302,,2026-01-25 00:00:00,1467.32,DUPLICATE_PROCESSING,CLOSED,,,False,HIGH,IVR
CBK0000063,TXN00017905,USR73461,MCH3216,,,2185.09,GENERAL_DISPUTE,RESOLVED,,,False,LOW,CHATBOT
CBK0000064,TXN00019898,USR48525,MCH5257,,,861.86,AMOUNT_MISMATCH,CLOSED,2026-04-03 20:30:01,,False,MEDIUM,EMAIL
CBK0000065,TXN00007639,USR34880,MCH1812,,,0.54,AMOUNT_MISMATCH,CLOSED,,,False,LOW,IVR
CBK0000066,TXN00017748,USR86707,MCH8350,,,0.19,MERCHANT_OR_DELIVERY_ISSUE,REJECTED,,,False,LOW,APP
CBK0000067,TXN00003314,USR37105,MCH6003,,,0.18,GENERAL_DISPUTE,IN_PROGRESS,2026-02-10 21:13:32,,False,LOW,BRANCH
CBK0000068,TXN00019414,USR96148,MCH3815,2026-01-01 03:55:28,,1.0,FRAUD_OR_ATO,IN_PROGRESS,,,False,CRITICAL,IVR
CBK0000069,TXN00002744,USR21384,MCH4252,2026-01-15 01:24:40,,840.07,MERCHANT_OR_DELIVERY_ISSUE,IN_PROGRESS,,,False,CRITICAL,EMAIL
CBK0000070,TXN00019236,USR39755,MCH6038,,2026-04-10 23:55:00,3160.25,FRAUD_OR_ATO,RESOLVED,,,False,HIGH,EMAIL
CBK0000071,TXN00008538,USR89774,MCH8569,2026-02-08 00:00:00,2026-02-10 14:50:39,0.28,FRAUD_OR_ATO,REJECTED,,,False,MEDIUM,CHATBOT
CBK0000072,TXN00004747,USR48250,MCH3100,,,11808.21,DUPLICATE_PROCESSING,IN_PROGRESS,,,False,MEDIUM,CALL CENTER
CBK0000073,TXN00007186,USR55692,MCH9079,,,7193.48,AMOUNT_MISMATCH,REJECTED,,,False,MEDIUM,EMAIL
CBK0000074,TXN00018905,USR67079,MCH5054,,,547.94,GENERAL_DISPUTE,IN_PROGRESS,,,False,HIGH,BRANCH
CBK0000075,TXN00014086,USR84007,MCH8154,,2026-03-25 00:00:00,1493.94,FRAUD_OR_ATO,RESOLVED,,,False,MEDIUM,APP
CBK0000076,TXN00001158,USR27355,MCH5963,,,461.85,MERCHANT_OR_DELIVERY_ISSUE,REJECTED,,,False,LOW,IVR
CBK0000077,TXN00016365,USR65949,MCH5705,,,287.37,DUPLICATE_PROCESSING,RESOLVED,,,False,LOW,APP
CBK0000078,TXN00019392,USR55898,MCH8405,2026-01-21 00:00:00,,16244.17,GENERAL_DISPUTE,CLOSED,,,False,HIGH,IVR
CBK0000079,TXN00000789,USR54133,MCH8683,,2026-02-26 00:00:00,0.79,FRAUD_OR_ATO,OPEN,,,False,HIGH,IVR
CBK0000080,TXN00007630,USR70905,MCH7833,2026-01-11 19:35:00,2026-01-12 06:35:00,963.14,DUPLICATE_PROCESSING,IN_PROGRESS,,,False,LOW,BRANCH
CBK0000081,TXN00016937,USR98012,MCH5770,,,6269.03,AMOUNT_MISMATCH,RESOLVED,,,False,MEDIUM,EMAIL
CBK0000082,TXN00013051,USR86387,MCH8735,2026-02-26 00:00:00,,0.73,MERCHANT_OR_DELIVERY_ISSUE,IN_PROGRESS,,,False,LOW,APP
CBK0000083,TXN00019136,USR46902,MCH4705,,,264.95,GENERAL_DISPUTE,OPEN,,,False,HIGH,EMAIL
CBK0000084,TXN00012123,USR60939,MCH1438,,,4232.74,FRAUD_OR_ATO,CLOSED,2026-02-14 02:34:26,,False,MEDIUM,BRANCH
CBK0000085,TXN00004176,USR35280,MCH8030,2026-01-08 00:00:00,,1105.82,FRAUD_OR_ATO,CLOSED,,,False,HIGH,BRANCH
CBK0000086,TXN00005603,USR63109,MCH4810,2026-02-22 19:09:31,,0.27,FRAUD_OR_ATO,IN_PROGRESS,2026-03-22 11:09:31,,False,MEDIUM,APP
CBK0000087,TXN00008323,USR70375,MCH3815,,,36675.43,FRAUD_OR_ATO,IN_PROGRESS,2026-03-29 08:50:42,,False,MEDIUM,IVR
CBK0000088,TXN00002716,USR62830,MCH4381,2026-01-22 00:00:00,,8825.16,AMOUNT_MISMATCH,REJECTED,,,False,MEDIUM,CALL CENTER
CBK0000089,TXN00017797,USR85655,MCH8344,,,1590.47,MERCHANT_OR_DELIVERY_ISSUE,OPEN,,,False,HIGH,IVR
CBK0000090,TXN00018546,USR70795,MCH3992,,,7492.62,MERCHANT_OR_DELIVERY_ISSUE,CLOSED,,,False,HIGH,IVR
CBK0000091,TXN00014621,USR78310,MCH9002,,2026-03-16 00:00:00,264.51,MERCHANT_OR_DELIVERY_ISSUE,OPEN,,,False,MEDIUM,IVR
CBK0000092,TXN00019596,USR96380,MCH3161,,,2991.63,DUPLICATE_PROCESSING,RESOLVED,,,False,HIGH,CHATBOT
CBK0000093,TXN00009196,USR28608,MCH7127,,,,MERCHANT_OR_DELIVERY_ISSUE,IN_PROGRESS,2026-02-07 12:00:43,,False,MEDIUM,EMAIL
CBK0000094,TXN00011368,USR24563,MCH8712,,,3661.74,FRAUD_OR_ATO,OPEN,2026-03-20 22:30:57,,False,MEDIUM,CALL CENTER
CBK0000095,TXN00006584,USR85655,MCH1599,,,1087.37,MERCHANT_OR_DELIVERY_ISSUE,IN_PROGRESS,,,False,MEDIUM,CALL CENTER
CBK0000096,TXN00015289,USR24926,MCH9472,,,2649.1,MERCHANT_OR_DELIVERY_ISSUE,CLOSED,,,False,LOW,IVR
CBK0000097,TXN00014288,USR75999,MCH4226,,,4255.52,GENERAL_DISPUTE,IN_PROGRESS,,,False,MEDIUM,IVR
CBK0000098,TXN00003777,USR36855,MCH7866,,,177.16,MERCHANT_OR_DELIVERY_ISSUE,IN_PROGRESS,,,False,MEDIUM,APP
CBK0000099,UNKNOWN_TXN,USR93290,MCH3558,,2026-01-17 00:00:00,1317.94,FRAUD_OR_ATO,RESOLVED,,,False,MEDIUM,EMAIL
CBK0000100,TXN00017882,USR54020,MCH3381,,2026-01-20 00:00:00,732.66,DUPLICATE_PROCESSING,OPEN,,,False,HIGH,APP
CBK0000101,TXN00010812,USR81116,MCH4055,,2026-04-04 00:00:00,0.35,DUPLICATE_PROCESSING,IN_PROGRESS,,,False,LOW,CHATBOT
CBK0000102,TXN00013948,USR79115,MCH3570,,2026-01-29 19:15:57,7171.27,GENERAL_DISPUTE,IN_PROGRESS,2026-02-16 19:15:57,18.0,True,LOW,APP
CBK0000103,TXN00008797,USR69455,MCH2902,,,980.58,FRAUD_OR_ATO,IN_PROGRESS,,,False,MEDIUM,IVR
CBK0000104,TXN00010908,USR70176,MCH5980,,,608.69,DUPLICATE_PROCESSING,REJECTED,,,False,LOW,BRANCH
CBK0000105,TXN00004321,USR86889,MCH1166,,,2032.79,MERCHANT_OR_DELIVERY_ISSUE,OPEN,2026-04-01 06:28:32,,False,LOW,APP
CBK0000106,TXN00016875,USR34270,MCH7335,,,570.66,FRAUD_OR_ATO,IN_PROGRESS,,,False,LOW,CHATBOT
CBK0000107,TXN00017349,USR51854,MCH2065,2026-03-14 00:00:00,,1441.68,MERCHANT_OR_DELIVERY_ISSUE,CLOSED,,,False,MEDIUM,APP
CBK0000108,TXN00012720,USR63044,MCH3342,,,0.13,FRAUD_OR_ATO,RESOLVED,,,False,LOW,CHATBOT
CBK0000109,TXN00003546,USR15596,MCH1434,,,3229.57,DUPLICATE_PROCESSING,CLOSED,,,False,MEDIUM,CALL CENTER
CBK0000110,TXN00005150,USR19275,MCH7578,,,2477.97,FRAUD_OR_ATO,REJECTED,2026-01-20 18:56:14,,False,MEDIUM,CALL CENTER
CBK0000111,TXN00019912,USR43416,MCH5748,2026-02-28 00:00:00,,2124.72,MERCHANT_OR_DELIVERY_ISSUE,OPEN,,,False,LOW,EMAIL
CBK0000112,TXN00002800,USR33650,MCH4226,,,9291.46,MERCHANT_OR_DELIVERY_ISSUE,REJECTED,2026-01-15 09:02:47,,False,LOW,EMAIL
CBK0000113,TXN00008131,USR37470,MCH4899,,,2367.83,MERCHANT_OR_DELIVERY_ISSUE,RESOLVED,,,False,LOW,APP
CBK0000114,TXN00002182,USR85475,MCH8779,,,,AMOUNT_MISMATCH,RESOLVED,,,False,LOW,EMAIL
CBK0000115,TXN00000541,USR20121,MCH8779,,2026-03-23 03:31:09,0.13,GENERAL_DISPUTE,RESOLVED,,,False,LOW,EMAIL
CBK0000116,TXN00008116,USR77356,MCH8789,,,841.93,FRAUD_OR_ATO,CLOSED,,,False,LOW,IVR
CBK0000117,TXN00008534,USR46501,MCH8277,,2026-03-08 00:00:00,652.86,GENERAL_DISPUTE,IN_PROGRESS,,,False,HIGH,EMAIL
CBK0000118,TXN00008970,USR64312,MCH2858,,,450.63,GENERAL_DISPUTE,CLOSED,,,False,LOW,IVR
CBK0000119,TXN79001,USR68410,MCH1820,,2026-03-15 00:00:00,5620.82,MERCHANT_OR_DELIVERY_ISSUE,RESOLVED,,,False,LOW,CHATBOT
CBK0000120,TXN00005470,USR35882,MCH5805,,,881.56,GENERAL_DISPUTE,OPEN,,,False,MEDIUM,CHATBOT
CBK0000121,TXN00006459,USR17577,MCH2566,,2026-01-02 00:00:00,2479.76,DUPLICATE_PROCESSING,CLOSED,,,False,HIGH,EMAIL
CBK0000122,TXN00015011,USR79150,MCH7474,,,1339.61,FRAUD_OR_ATO,IN_PROGRESS,,,False,LOW,EMAIL
CBK0000123,TXN00016267,USR85507,MCH6810,,,0.18,FRAUD_OR_ATO,RESOLVED,,,False,HIGH,BRANCH
CBK0000124,TXN00006207,USR61576,MCH7286,2026-02-12 00:00:00,,5731.89,MERCHANT_OR_DELIVERY_ISSUE,IN_PROGRESS,,,False,LOW,BRANCH
CBK0000125,TXN00006063,USR72570,MCH3943,2026-02-14 00:00:00,,0.22,FRAUD_OR_ATO,IN_PROGRESS,,,False,HIGH,IVR
CBK0000126,TXN00009782,USR75241,MCH8503,,,718.61,AMOUNT_MISMATCH,RESOLVED,,,False,MEDIUM,IVR
CBK0000127,TXN00007654,USR54113,MCH3992,,,1028.53,DUPLICATE_PROCESSING,IN_PROGRESS,,,False,MEDIUM,CHATBOT
CBK0000128,TXN00012176,USR84571,MCH5742,2026-03-26 00:00:00,,4272.46,MERCHANT_OR_DELIVERY_ISSUE,RESOLVED,,,False,LOW,CALL CENTER
CBK0000129,TXN00009368,USR60939,MCH4143,,,2931.23,MERCHANT_OR_DELIVERY_ISSUE,REJECTED,,,False,LOW,EMAIL
CBK0000130,TXN00002672,USR96637,MCH4181,,,4547.87,AMOUNT_MISMATCH,IN_PROGRESS,,,False,LOW,EMAIL
CBK0000131,UNKNOWN_TXN,USR16031,MCH4997,2026-02-21 20:10:28,,0.14,FRAUD_OR_ATO,IN_PROGRESS,,,False,HIGH,CALL CENTER
CBK0000132,TXN00016038,USR11624,MCH5300,,,447.63,MERCHANT_OR_DELIVERY_ISSUE,CLOSED,,,False,HIGH,APP
CBK0000133,TXN00011403,USR18453,MCH9291,2026-01-14 00:00:00,,3000.84,GENERAL_DISPUTE,OPEN,2026-02-17 16:25:35,,False,HIGH,CALL CENTER
CBK0000134,TXN00007757,USR87362,MCH3332,,,2328.13,MERCHANT_OR_DELIVERY_ISSUE,OPEN,2026-04-15 22:34:56,,False,HIGH,BRANCH
CBK0000135,TXN00013531,USR33763,MCH2483,,2026-01-22 00:00:00,0.24,MERCHANT_OR_DELIVERY_ISSUE,IN_PROGRESS,,,False,LOW,APP
CBK0000136,TXN00000724,USR55205,MCH4226,,,0.45,GENERAL_DISPUTE,CLOSED,,,False,HIGH,EMAIL
CBK0000137,TXN00005904,USR86701,MCH6915,,2026-03-31 00:00:00,953.16,AMOUNT_MISMATCH,OPEN,,,False,HIGH,CHATBOT
CBK0000138,TXN00003017,USR74855,MCH9944,2026-01-12 10:06:13,,707.43,FRAUD_OR_ATO,REJECTED,,,False,LOW,EMAIL
CBK0000139,TXN34566,USR29306,MCH4355,,,0.27,DUPLICATE_PROCESSING,REJECTED,,,False,LOW,IVR
CBK0000140,TXN00001801,USR46902,MCH2378,,,2789.99,GENERAL_DISPUTE,IN_PROGRESS,2026-03-10 07:20:55,,False,LOW,EMAIL
CBK0000141,TXN00006360,USR82731,MCH8970,2026-02-25 00:00:00,,1731.1,DUPLICATE_PROCESSING,IN_PROGRESS,,,False,LOW,CHATBOT
CBK0000142,TXN00017373,USR22644,MCH2266,,,4758.01,FRAUD_OR_ATO,IN_PROGRESS,,,False,MEDIUM,EMAIL
CBK0000143,TXN59408,USR34207,MCH9423,2026-03-20 00:00:00,,0.8,FRAUD_OR_ATO,IN_PROGRESS,,,False,HIGH,APP
CBK0000144,TXN00006125,USR91671,MCH4943,2026-03-06 23:07:46,,2573.59,MERCHANT_OR_DELIVERY_ISSUE,CLOSED,,,False,HIGH,CHATBOT
CBK0000145,TXN00009456,USR21384,MCH8779,,,3537.13,GENERAL_DISPUTE,IN_PROGRESS,,,False,MEDIUM,CHATBOT
CBK0000146,TXN00008795,USR87406,MCH4568,2026-02-22 00:00:00,,1052.0,FRAUD_OR_ATO,OPEN,,,False,MEDIUM,CALL CENTER
CBK0000147,TXN00003927,USR94184,MCH2234,,2026-02-17 03:26:55,875.3,AMOUNT_MISMATCH,CLOSED,,,False,LOW,IVR
CBK0000148,UNKNOWN_TXN,USR37395,MCH3992,2026-02-25 00:00:00,,,GENERAL_DISPUTE,CLOSED,,,False,CRITICAL,IVR
CBK0000149,TXN00015300,USR25559,MCH8125,,,753.9,FRAUD_OR_ATO,IN_PROGRESS,,,False,MEDIUM,APP
CBK0000150,TXN00004153,USR21449,MCH8072,,,3630.27,FRAUD_OR_ATO,IN_PROGRESS,,,False,HIGH,APP
CBK0000151,TXN00005861,USR31659,MCH5954,,,10091.73,AMOUNT_MISMATCH,REJECTED,,,False,LOW,EMAIL
CBK0000152,TXN56695,USR13925,MCH6810,,,3475.46,FRAUD_OR_ATO,OPEN,2026-04-13 11:00:46,,False,CRITICAL,EMAIL
CBK0000153,TXN00000546,USR92746,MCH7824,,2026-03-03 19:44:09,,MERCHANT_OR_DELIVERY_ISSUE,CLOSED,,,False,MEDIUM,IVR
CBK0000154,TXN00011689,USR92364,MCH2569,,2026-03-14 22:06:34,473.27,MERCHANT_OR_DELIVERY_ISSUE,REJECTED,,,False,LOW,IVR
CBK0000155,TXN00010068,USR53527,MCH9030,,,2128.78,FRAUD_OR_ATO,IN_PROGRESS,,,False,LOW,CHATBOT
CBK0000156,TXN00018659,USR96218,MCH5609,2026-02-15 00:00:00,,4959.68,DUPLICATE_PROCESSING,RESOLVED,2026-03-05 09:55:18,,False,CRITICAL,BRANCH
CBK0000157,TXN00016322,USR89473,MCH2014,,,0.15,MERCHANT_OR_DELIVERY_ISSUE,RESOLVED,,,False,LOW,BRANCH
CBK0000158,TXN00015663,USR86472,MCH4826,,,5021.55,DUPLICATE_PROCESSING,IN_PROGRESS,,,False,MEDIUM,BRANCH
CBK0000159,TXN00001671,USR51888,MCH8727,,,0.26,AMOUNT_MISMATCH,IN_PROGRESS,,,False,HIGH,IVR
CBK0000160,TXN00015230,USR38364,MCH5454,,,2419.56,GENERAL_DISPUTE,IN_PROGRESS,,,False,HIGH,CALL CENTER
CBK0000161,TXN00017149,USR60681,MCH8391,,,1317.13,GENERAL_DISPUTE,IN_PROGRESS,,,False,HIGH,IVR
CBK0000162,TXN00001838,USR56312,MCH5172,,,0.42,FRAUD_OR_ATO,REJECTED,,,False,LOW,IVR
CBK0000163,TXN00000976,USR35447,MCH1441,,,1181.91,GENERAL_DISPUTE,REJECTED,,,False,MEDIUM,IVR
CBK0000164,TXN00010786,USR79443,MCH3729,,,,DUPLICATE_PROCESSING,CLOSED,2026-01-23 04:00:24,,False,MEDIUM,IVR
CBK0000165,TXN00013500,USR82240,MCH3046,2026-01-23 09:33:00,2026-03-09 00:00:00,3214.54,DUPLICATE_PROCESSING,OPEN,,,False,LOW,IVR
CBK0000166,TXN00011027,USR82338,MCH2856,2026-02-06 00:48:39,,0.18,DUPLICATE_PROCESSING,IN_PROGRESS,,,False,MEDIUM,CALL CENTER
CBK0000167,TXN00012360,USR86156,MCH2438,,,5341.0,GENERAL_DISPUTE,CLOSED,,,False,LOW,BRANCH
CBK0000168,TXN00010651,USR97772,MCH4642,2026-01-19 00:00:00,2026-02-03 00:00:00,,FRAUD_OR_ATO,IN_PROGRESS,2026-03-03 13:11:35,28.0,True,HIGH,CHATBOT
CBK0000169,TXN84777,USR83541,MCH9196,,,1091.87,FRAUD_OR_ATO,OPEN,,,False,MEDIUM,APP
CBK0000170,TXN00016286,USR62841,MCH6175,,,800.41,FRAUD_OR_ATO,IN_PROGRESS,,,False,MEDIUM,IVR
CBK0000171,TXN00003032,USR85839,MCH4965,,,988.93,MERCHANT_OR_DELIVERY_ISSUE,REJECTED,,,False,HIGH,CHATBOT
CBK0000172,TXN00016070,USR32730,MCH2746,,,2123.39,DUPLICATE_PROCESSING,REJECTED,,,False,MEDIUM,EMAIL
CBK0000173,TXN00013826,USR31453,MCH4581,2026-01-24 14:20:26,,1245.39,GENERAL_DISPUTE,CLOSED,,,False,LOW,BRANCH
CBK0000174,TXN00013432,USR44848,MCH4003,,,616.19,GENERAL_DISPUTE,REJECTED,,,False,LOW,BRANCH
CBK0000175,TXN00009098,USR33215,MCH3992,2026-01-04 00:23:38,,4947.89,MERCHANT_OR_DELIVERY_ISSUE,CLOSED,,,False,LOW,IVR
CBK0000176,TXN00001405,USR91859,MCH2900,,,2105.51,MERCHANT_OR_DELIVERY_ISSUE,CLOSED,,,False,MEDIUM,CHATBOT
CBK0000177,TXN00001663,USR24926,MCH7681,,,2379.68,MERCHANT_OR_DELIVERY_ISSUE,RESOLVED,,,False,LOW,IVR
CBK0000178,TXN00004134,USR75133,MCH1949,,,794.23,GENERAL_DISPUTE,OPEN,2026-03-06 06:12:04,,False,HIGH,IVR
CBK0000179,TXN00017876,USR49537,MCH5956,,,638.04,FRAUD_OR_ATO,IN_PROGRESS,,,False,HIGH,IVR
CBK0000180,TXN00019503,USR70812,MCH3936,,,1537.27,MERCHANT_OR_DELIVERY_ISSUE,IN_PROGRESS,,,False,LOW,BRANCH
